disposition	standard	vetted
DISCARDED BY DR. MAYR, 23 DEC 1943	discarded	1
DISCARDED BY DR. MAYR, DEC 1936	discarded	1
DISCARDED BY DR. MAYR, DEC 1944	discarded	1
DISCARDED BY DR. MAYR, FEB 16, 1940	discarded	1
DISCARDED BY DR. MAYR, MAY 6, 1936	discarded	1
DISCARDED BY DR. MAYR, NOV 1, 1938	discarded	1
DISCARDED BY DR. MEYR, DEC 25, 1943	discarded	1
DISCARDED BY DR. VAURIE 5 MARCH 1956	discarded	1
DISCARDED BY DR. VAURIE, 25 MAR 1956	discarded	1
DISCARDED BY DR. VAURIE, 5 MAR 1956	discarded	1
DISCARDED BY MR. OBRIEN, 15 MAR 1971	discarded	1
DISCARDED D. AMADON 7/17/63	discarded	1
DISCARDED DAMAGED 8/91	discarded	1
DISCARDED FROM COLL. 21 OCT 1931. (PREPARATION DEP	discarded	1
DISCARDED FROM COLL., 21 OCT 1931	discarded	1
DISCARDED FROM COLL., 21 OCT 1931 (PREPARATION DEP	discarded	1
DISCARDED FROM COLL., 21 OCT 1931, (PREPARATION DE	discarded	1
DISCARDED FROM COLL., 21 OCT 1931. (PREPARATION DE	discarded	1
DISCARDED FROM COLL.: 21 OCT 1931. (DEPT. OF PREPA	discarded	1
DISCARDED FROM COLL.: 21 OCT 1931. (PREPARATION DE	discarded	1
DISCARDED FROM COLLECTION (GREASE-BURNED), 10 MAY 	discarded	1
DISCARDED FROM COLLECTION, 23 DEC 1943, BY DR. MAY	discarded	1
DISCARDED JULY 8, 1953	discarded	1
DISCARDED JUNE 12, 1936	discarded	1
DISCARDED JUNE 5 1936	discarded	1
DISCARDED MAY 1925	discarded	1
DISCARDED NOV. 21 1943. (GREASE-BURNED)	discarded	1
DISCARDED OCT 1955	discarded	1
DISCARDED OCTOBER 1, 1973	discarded	1
DISCARDED SEP 1908 BY W.M. (GREASE BURNT ETC)	discarded	1
DISCARDED, 1 FEB 1956, GREASE-BURNED	discarded	1
DISCARDED, 1 FEB 1977	discarded	1
DISCARDED, 14 JAN 1955, J.F.	discarded	1
DISCARDED, 18 MAY 194[ILLEG] (CROSSED OUT); GIVEN 	voucher elsewhere	1
DISCARDED, 18 NOV 1975	discarded	1
DISCARDED, 1906	discarded	1
DISCARDED, 20 JAN 1906. W.DEW.M.	discarded	1
DISCARDED, 20 JAN 1930	discarded	1
DISCARDED, 21 MAY 1971, MR. OBRIEN	discarded	1
DISCARDED, 22 FEB 1962	discarded	1
DISCARDED, 22 JAN 1956, J.F.	discarded	1
DISCARDED, 22 JAN 1956. [ILLEG].F.	discarded	1
DISCARDED, 23 FEB 1994	discarded	1
DISCARDED, 24 OCT 1906	discarded	1
DISCARDED, 27 AUG 1916	discarded	1
DISCARDED, 29 MAY 1955	discarded	1
DISCARDED, 30 APR 1942	discarded	1
DISCARDED, 31 MAR 1925	discarded	1
DISCARDED, 4 FEB 1959, DR. VAURIE	discarded	1
DISCARDED, 4 MAR 1955, D.A.	discarded	1
DISCARDED, 5 OCT 1931	discarded	1
DISCARDED, 6 OCT 1954 J.F.	discarded	1
DISCARDED, 6 OCT 1954, J.F.	discarded	1
DISCARDED, 7 OCT 1954 J.F.	discarded	1
DISCARDED, AUG 1920	discarded	1
DISCARDED, AUG 1923	discarded	1
DISCARDED, AUG 1953	discarded	1
DISCARDED, AUG 1958	discarded	1
DISCARDED, BY DR. VAURIE 25 MARCH 1956	discarded	1
DISCARDED, D. AMADON, 24 JUN 1964	discarded	1
DISCARDED, DESTROYED BY INSECTS, 9 MAY 1917	destroyed	1
DISCARDED, DR. AMADON, 17 JUL 1963	discarded	1
DISCARDED, FEB 1937	discarded	1
DISCARDED, FEB 1963	discarded	1
DISCARDED, INSECT EATEN, 10 NOV 1917	discarded	1
DISCARDED, JAN 1921	discarded	1
DISCARDED, JAN 1953; "PRESENTED TO BUFFALO MUSEUM 	discarded	1
DISCARDED, JUL 1920	discarded	1
DISCARDED, JUL 1946	discarded	1
DISCARDED, JUN 1920	discarded	1
DISCARDED, JUN 1931	discarded	1
DISCARDED, JUNE 1971	discarded	1
DISCARDED, JUNE, 1971	discarded	1
DISCARDED, MAR 1909	discarded	1
DISCARDED, MAR 1942	discarded	1
DISCARDED, NOV 1937	discarded	1
DISCARDED, OCT 1920	discarded	1
DISCARDED, OCT 1955	discarded	1
DISCARDED, OCT 1966	discarded	1
DISCARDED, OCT. 1955	discarded	1
DISCARDED, OCTOBER	discarded	1
DISCARDED, OCTOBER 1966	discarded	1
DISCARDED, SEP 1893	discarded	1
DISCARDED, SEP 1893; SENT TO BARRO COLORADO, 1926	discarded	1
DISCARDED, SEP 1908, BY W.DEW.M., (IMPERFECT & HOR	discarded	1
DISCARDED, SEP 1957	discarded	1
DISCARDED, WORTHLESS, 24 DEC 1903	discarded	1
DISCARDED: 10 APR 1942 C.O.B.	discarded	1
DISCARDED: 20 JUL 1920	discarded	1
DISCARDED: 23 FEB 1962	discarded	1
DISCARDED: 23 JUL 1959	discarded	1
DISCARDED: 6 OCT 1954 J.F.	discarded	1
DISCARDED: AUG 1953	discarded	1
DISCARDED: JUN 1963 D.A.(PARTIALLY CROSSED OUT); G	discarded	1
DISCARDED: MAR 1942	discarded	1
DISCARDED: MAY 1925	discarded	1
DISCARDED: SEP 1893	discarded	1
DISCARDING MAY 7, 1936	discarded	1
DISMOUNTED FOR THE STUDY COLLECTION	in collection	1
DISP		1
DONATED TO THEODORE ROOSEVELT ASSOC. FOR PERM. EXH	voucher elsewhere	1
DONATED TO URBAN PARK RANGERS, BROOKLYN, N.Y. - JU	voucher elsewhere	1
DONATED TO URBAN PARK RANGERS, BROOKLYN, N.Y.-JULY	voucher elsewhere	1
DONATED TO URBAN PARK RANGERS, BROOKLYN, NY-JULY 1	voucher elsewhere	1
DR. GEORGE H. LOWERY, EXCH. TO LOUISIANA STATE UNI	voucher elsewhere	1
DR. GEORGE M. LOWERY, EXCH. TO LOUISIANA STATE UNI	voucher elsewhere	1
DR. HERMAN TO D.G. ELLIOT & AUS. MUS.	voucher elsewhere	1
DUBLICATE SENT TO BOMBAY NAT. HIST. SOC. MARCH 193	duplicate elsewhere	1
DUBLICATE SENT TO BOMBAY NAT. HIST. SOC., MARCH 19	duplicate elsewhere	1
DUBLICATE SENT TO BRITISH MUSEUM, MARCH 1938	duplicate elsewhere	1
DUPLICATE FOR NAT. MUSEUM	duplicate elsewhere	1
DUPLICATE FOR U.S. MUS. FEB 1913	duplicate elsewhere	1
DUPLICATE FOR U.S. NAT. MUS. FEB 1913	duplicate elsewhere	1
DUPLICATE FOR U.S. NAT. MUS. FEB. 1913	duplicate elsewhere	1
DUPLICATE FOR U.S. NAT. MUS. NOV 1912	duplicate elsewhere	1
DUPLICATE FOR U.S. NAT. MUS. NOV. 1912	duplicate elsewhere	1
DUPLICATE FOR U.S. NATIONAL MUS. FEB 1913	duplicate elsewhere	1
DUPLICATE FOR U.S. NATIONAL MUS. NOV 1912	duplicate elsewhere	1
DUPLICATE FOR U.S. NATIONAL MUS. NOV. 1912	duplicate elsewhere	1
DUPLICATE FOR U.S. NBAT. MUS. NOV 1912	duplicate elsewhere	1
DUPLICATE SENT TO BOMBAY NAT. HIST. COC., MARCH 19	duplicate elsewhere	1
DUPLICATE SENT TO BOMBAY NAT. HIST. SO., MARCH 193	duplicate elsewhere	1
DUPLICATE SENT TO BOMBAY NAT. HIST. SOC. 1938	duplicate elsewhere	1
DUPLICATE SENT TO BOMBAY NAT. HIST. SOC. MARCH 193	duplicate elsewhere	1
DUPLICATE SENT TO BOMBAY NAT. HIST. SOC., MARCH	duplicate elsewhere	1
DUPLICATE SENT TO BOMBAY NAT. HIST. SOC., MARCH 19	duplicate elsewhere	1
DUPLICATE SENT TO BOMBAY NAT. SOC., MARCH 1938	duplicate elsewhere	1
DUPLICATE SENT TO BRISTISH MUSEUM, MARCH 1938	duplicate elsewhere	1
DUPLICATE SENT TO BRITISH MUSEUM, MARCH 1938	duplicate elsewhere	1
DUPLICATES ELSEWHERE	duplicate elsewhere	1
E		1
E, O		1
E,0		1
E,D		1
E,G		1
E,O		1
E,O,D		1
E,O,G		1
EX WITH CLEVELAND MUS, FEB 192[ILLEG]	voucher elsewhere	1
EX WITH S.I. NOV.27, 1889	voucher elsewhere	1
EX. - TACKAPAUSHA MUSEUM	voucher elsewhere	1
EX. - WITH WALTER KOELZ - APR 1926, UNIVERSITY OF 	voucher elsewhere	1
EX. APRIL 18,1890 WITH VIENNA MUSEUM	voucher elsewhere	1
EX. BONN. MUS.	voucher elsewhere	1
EX. CLEVELAND MUS. FEB 1926	voucher elsewhere	1
EX. CLEVELAND MUS., FEB 1926	voucher elsewhere	1
EX. DWITH IMP.COL.AGR. JAPAN OCT.'08	voucher elsewhere	1
EX. GEO. E. MASON,JULY 1922	voucher elsewhere	1
EX. M.C.Z., NOV 1923	voucher elsewhere	1
EX. MABEL OSGOOD WRIGHT, FEB 19, 1916	voucher elsewhere	1
EX. MUS. COMP. ZOOL.	voucher elsewhere	1
EX. MUS. U. SO. DAKOTA	voucher elsewhere	1
EX. S.I. NOV. 27,1889	voucher elsewhere	1
EX. S.I. NOV.27,1889	voucher elsewhere	1
EX. TACKAPAUSHA MUSEUM	voucher elsewhere	1
EX. WALTER KOELZ - APR 1926	voucher elsewhere	1
EX. WITH [ILLEG.] APRIL 5 1890	voucher elsewhere	1
EX. WITH [ILLEG], FEB 192[ILLEG]	voucher elsewhere	1
EX. WITH [ILLEG].[ILLEG]. SOUTHWICK	voucher elsewhere	1
EX. WITH A.I. NOV. 27,1889	voucher elsewhere	1
EX. WITH ASHLEY HINE, BANIFF,ALBERTA JULY 31, 1907	voucher elsewhere	1
EX. WITH BROWN	voucher elsewhere	1
EX. WITH BROWN UNIV. 7/90	voucher elsewhere	1
EX. WITH BROWN UNIV. OCT 6/90	voucher elsewhere	1
EX. WITH BROWN UNIV. OCT 7/90	voucher elsewhere	1
EX. WITH BROWN UNIV. OCT. 7/90	voucher elsewhere	1
EX. WITH BROWN UNIV. OCT.7/90	voucher elsewhere	1
EX. WITH BROWN UNIV., OCT 7/90	voucher elsewhere	1
EX. WITH BROWN UNIV.,OCT.7/90	voucher elsewhere	1
EX. WITH C. WUNDER, JUNE 10, 1915	voucher elsewhere	1
EX. WITH C.A. SMITH MAY 15/90	voucher elsewhere	1
EX. WITH C.B. CORY, SEP 1893	voucher elsewhere	1
EX. WITH C.E. AIKEN, 19 APR 1898	voucher elsewhere	1
EX. WITH CARLOS REEDS MENDOZA, 9 FEB 1917	voucher elsewhere	1
EX. WITH CARLOS REEDS, FEB 1917	voucher elsewhere	1
EX. WITH CARLOS REEDS, MENDOZA FEB. 9, 1917	voucher elsewhere	1
EX. WITH CARLOS REEDS, MENDOZA, 9 FEB 1917	voucher elsewhere	1
EX. WITH CARLOS REEDS, MENDOZA, FEB 1917	voucher elsewhere	1
EX. WITH CARLOS REEDS, MENDOZA, FEB. 9, 1917	voucher elsewhere	1
EX. WITH CHICAGO ACAD. SCI.	voucher elsewhere	1
EX. WITH CLEVELAND MUS, FEB 1[ILLEG][ILLEG][ILLEG]	voucher elsewhere	1
EX. WITH CLEVELAND MUS, FEB 19[ILLEG][ILLEG]	voucher elsewhere	1
EX. WITH CLEVELAND MUS, FEB 192[ILLEG]	voucher elsewhere	1
EX. WITH CLEVELAND MUS, FEB 1926	voucher elsewhere	1
EX. WITH CLEVELAND MUS. FEB 1926	voucher elsewhere	1
EX. WITH CLEVELAND MUS. FEB. 1920 [ILLEG.]	voucher elsewhere	1
EX. WITH CLEVELAND MUS. FEB. 1926	voucher elsewhere	1
EX. WITH CLEVELAND MUS. FEB. 1928	voucher elsewhere	1
EX. WITH CLEVELAND MUS., FEB [ILLEG]	voucher elsewhere	1
EX. WITH CLEVELAND MUS., FEB 192[ILLEG]	voucher elsewhere	1
EX. WITH CLEVELAND MUS., FEB 1926	voucher elsewhere	1
EX. WITH CLEVELAND MUS., FEB 1926; FLA. ST. UNIV.	voucher elsewhere	1
EX. WITH CLEVELAND MUS., FEB. 1926	voucher elsewhere	1
EX. WITH CLEVELAND MUSEUM, FEB 1926	voucher elsewhere	1
EX. WITH CLEVELAND, FEB 1926	voucher elsewhere	1
EX. WITH DR. L.C. SANFORD SEPT 1917	voucher elsewhere	1
EX. WITH DR. RUSBY	voucher elsewhere	1
EX. WITH DR. RUSBY, 7/8/1896	voucher elsewhere	1
EX. WITH DR. RUSBY, 8 JUL 1996	voucher elsewhere	1
EX. WITH DR. RUSHY 8/8/96; RETURNED VIA EXCHANGE W	voucher elsewhere	1
EX. WITH E.T. SETON, MAY 24, 1928	voucher elsewhere	1
EX. WITH F.O. JOHNSON MAY 20, 1889	voucher elsewhere	1
EX. WITH F.O. JOHNSON MAY 20, 1890	voucher elsewhere	1
EX. WITH F.O. JOHNSON MAY 20, 1989	voucher elsewhere	1
EX. WITH F.O. JOHNSON, MAY 20, 1889	voucher elsewhere	1
EX. WITH F.O. JOHNSON, MAY 30, 1889	voucher elsewhere	1
EX. WITH G. [ILLEG][ILLEG]H[ILLEG], 28 APR 18[ILLE	voucher elsewhere	1
EX. WITH G. KOHN APR 28,'80	voucher elsewhere	1
EX. WITH G. KOHN APR.28,1890	voucher elsewhere	1
EX. WITH G. KOHN APRIL 18 ]ILLEG.]	voucher elsewhere	1
EX. WITH G. KOHN NOV 29/90	voucher elsewhere	1
EX. WITH G. KOHN NOV. 29/90	voucher elsewhere	1
EX. WITH G. KOHN NOV.29/90	voucher elsewhere	1
EX. WITH G. KOHN, APR 28,'90	voucher elsewhere	1
EX. WITH G.KOHN APR 28 [ILLEG.]	voucher elsewhere	1
EX. WITH G.KOHN APR 28,'90	voucher elsewhere	1
EX. WITH G.KOHN APR.28'90	voucher elsewhere	1
EX. WITH G.KOHN NOV 29/90	voucher elsewhere	1
EX. WITH G.KOHN NOV. 30/90	voucher elsewhere	1
EX. WITH G.KOHN NOV.29/90	voucher elsewhere	1
EX. WITH G.KOHN NOV29/90	voucher elsewhere	1
EX. WITH H.K.COALE,CHICAGO ILL. APRIL 24,1907	voucher elsewhere	1
EX. WITH IMP.COL.AGR. JAPAN OCT.'08	voucher elsewhere	1
EX. WITH IMP.COL.AGR. JAPAN OCT'08	voucher elsewhere	1
EX. WITH IMP.COL.AGR.,JAPAN DEC.'09	voucher elsewhere	1
EX. WITH JOHN WHITEHEAD SEP. 12/90	voucher elsewhere	1
EX. WITH JOHN WHITEHEAD SEPT 12/90	voucher elsewhere	1
EX. WITH JOHN WHITEHEAD SEPT. 12/90	voucher elsewhere	1
EX. WITH JOHN WHITEHEAD, 12 SEP 1890	voucher elsewhere	1
EX. WITH JOHN WHITEHEAD, SEPT 13/90	voucher elsewhere	1
EX. WITH KN[ILLEG], S & CO. [ILLEG]2/28.00	voucher elsewhere	1
EX. WITH KNY S & CO.	voucher elsewhere	1
EX. WITH KNY S & CO., 12/28/00	voucher elsewhere	1
EX. WITH KNY S. & CO., 12/28/00	voucher elsewhere	1
EX. WITH KNY, S & CO., 12/28/00	voucher elsewhere	1
EX. WITH KNY, S. & CO.	voucher elsewhere	1
EX. WITH KNY[ILLEG] S & CO.	voucher elsewhere	1
EX. WITH LOUIS	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT 10 1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT 10, 1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT 10,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT 1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT. 10 1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT. 10, 1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT. 10,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT. 19,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT.10 1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR SEPT.10,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR, 10 SEP 18[ILLEG]0	voucher elsewhere	1
EX. WITH LOUIS MOLNAR, 10 SEP 1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR, SEP.10,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR, SEPT 10, 1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR, SEPT 10,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR, SEPT. 10,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR, SEPT.10,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR,SEPT. 10,1890	voucher elsewhere	1
EX. WITH LOUIS MOLNAR,SEPT.10,1890	voucher elsewhere	1
EX. WITH M.C.Z., NOV 3, 1913	voucher elsewhere	1
EX. WITH MR. E.T. SETON MAY 24,1928	voucher elsewhere	1
EX. WITH P.L. SCLATER, SEP 1893	voucher elsewhere	1
EX. WITH P.L. SCLATER, SEP 1893; EXCH. MUSEO NACIO	voucher elsewhere	1
EX. WITH P.L. SCLATER, SEP 1893; EXCH. WITH H.K. C	voucher elsewhere	1
EX. WITH R. MAINERZNAGEN JUNE 1924	voucher elsewhere	1
EX. WITH R. MEINERNAGEN JUNE 1924	voucher elsewhere	1
EX. WITH R. MEINERZANAGEN JUNE 1924	voucher elsewhere	1
EX. WITH R. MEINERZHAGEN [ILLEG.] JUNE 1924	voucher elsewhere	1
EX. WITH R. MEINERZHAGEN, JUN 1[ILLEG][ILLEG]4	voucher elsewhere	1
EX. WITH R. MEINERZHAGEN, JUN 1924	voucher elsewhere	1
EX. WITH R. MEINERZHAGEN, JUNE 1924	voucher elsewhere	1
EX. WITH R. MEINERZNAGEN JUNE [ILLEG. ?]	voucher elsewhere	1
EX. WITH R. MEINERZNAGEN JUNE 1921	voucher elsewhere	1
EX. WITH R. MEINERZNAGEN JUNE 1924	voucher elsewhere	1
EX. WITH R. MEINERZNAGEN, JUNE 1924	voucher elsewhere	1
EX. WITH R.C. MC GREGOR, MAR 1898	voucher elsewhere	1
EX. WITH RUSBY, 7/8/1896	voucher elsewhere	1
EX. WITH S.I. DEC.9/89 IN RETURN [ILLEG.]	voucher elsewhere	1
EX. WITH S.I. NOV 27 1889	voucher elsewhere	1
EX. WITH S.I. NOV 27, 1880	voucher elsewhere	1
EX. WITH S.I. NOV 27, 1889	voucher elsewhere	1
EX. WITH S.I. NOV 27,1889	voucher elsewhere	1
EX. WITH S.I. NOV. 1889	voucher elsewhere	1
EX. WITH S.I. NOV. 27, 1889	voucher elsewhere	1
EX. WITH S.I. NOV. 27, 1890	voucher elsewhere	1
EX. WITH S.I. NOV. 27,1889	voucher elsewhere	1
EX. WITH S.I. NOV. 27,1889; RETURN  [ILLEG.] -AS W	voucher elsewhere	1
EX. WITH S.I. NOV.27, 1889	voucher elsewhere	1
EX. WITH S.I. NOV.27,1880	voucher elsewhere	1
EX. WITH S.I. NOV.27,1889	voucher elsewhere	1
EX. WITH S.I. NOV.27,1889; GIVEN TO BROOKLYN MUSEU	voucher elsewhere	1
EX. WITH S.I. NOV.27,1890	voucher elsewhere	1
EX. WITH S.I. NOV.27,29/90	voucher elsewhere	1
EX. WITH STOCKHOLM N.H. MUS., MAY 1927	voucher elsewhere	1
EX. WITH U.S. NAT. MUS., SEP 1893	voucher elsewhere	1
