identificationqualifier	standard	vetted
LOBOSCULUMSP.	sp.	1
LUTRENSA X SP.	lutrensa X sp.	1
MACROCHIRUS X SP.	macrochirus X sp.	1
MALE		1
MALTHE X SP.	malthe x sp.	1
MANY RIDGES SP.	sp.	1
MARTINIA OR RETICULARIA SP.	sp.	1
MAULDINENSIS SP. NOV.	sp. nov.	1
MEDIUM SIZED SP.	sp.	1
MEGALOTIS X SP.	megalotis X sp.	1
METASTERNITE SP. 1	sp.	1
MICROPOGONIASSP.	sp.	1
MOAI N. SP.	sp. nov.	1
N SP.	sp. nov.	1
N SP. "L402"	sp. nov.	1
N SP. A	sp. nov.	1
N SP. B	sp. nov.	1
N. GEN. ET. SP.	gen. nov.	1
N. GEN. N. SP.	gen. nov.	1
N. SP.	sp. nov.	1
N. SP.  B	sp. nov	1
N. SP. #1	sp. nov.	1
N. SP. #2	sp. nov.	1
N. SP. (CF. ACHIRUS)	sp. nov.	1
N. SP. (CF. FITZSIMONSI)	sp. nov.	1
N. SP. (CF. PUSILLUS)	sp. nov.	1
N. SP. (CF. REGANI)	sp. nov.	1
N. SP. (CF. SIGNIFERA)	sp. nov.	1
N. SP. (CF. THETA)	sp. nov.	1
N. SP. (MS)	sp. nov.	1
N. SP. (YUCATANA GROUP)	sp. nov.	1
N. SP. [BLUE-SPOTTED]	sp. nov.	1
N. SP. “BIMACULATUS”	sp. nov.	1
N. SP. “CONGO”	sp. nov.	1
N. SP. “NEGRO/ALTO ORINOCO”	sp. nov.	1
N. SP. “RUFIJI”	sp. nov.	1
N. SP. “TAILSPOT”	sp. nov.	1
N. SP. 1	sp. nov.	1
N. SP. 10	sp. nov.	1
N. SP. 11	sp. nov.	1
N. SP. 12	sp. nov.	1
N. SP. 13	sp. nov.	1
N. SP. 2	sp. nov.	1
N. SP. 3	sp. nov.	1
N. SP. 4	sp. nov.	1
N. SP. 5	sp. nov.	1
N. SP. 6	sp. nov.	1
N. SP. 6.	sp. nov	1
N. SP. 7	sp. nov.	1
N. SP. 8	sp. nov.	1
N. SP. 9	sp. nov.	1
N. SP. A	sp. nov.	1
N. SP. A.	sp. nov.	1
N. SP. B	sp. nov.	1
N. SP. B (SHORT GLAND)	sp. nov.	1
N. SP. B.	sp. nov.	1
N. SP. C	sp. nov.	1
N. SP. CF. INCONSPICUA	sp. nov.	1
N. SP. CF. MACKAYI	sp. nov.	1
N. SP. CF. WYOMINGENSIS	sp. nov	1
N. SP. D	sp. nov.	1
N. SP. D OF KLAPPER	sp. nov.	1
N. SP. E	sp. nov	1
N. SP. E OF KLAPPER	sp. nov	1
N. SP. F OF KLAPPER	sp. nov	1
N. SP. I	sp. nov	1
N. SP. J	sp. nov.	1
N. SP. KUES & BATTEN 2001	sp. nov.	1
N. SP. L	sp. nov.	1
N. SP. M	sp. nov.	1
N. SP. MS	sp. nov.	1
N. SP. N	sp. nov.	1
N. SP. OF KUES 1984	sp. nov	1
N. SP. Q	sp. nov.	1
N. SP. QUE. CHARANAL	sp. nov.	1
N. SP. R	sp. nov.	1
N. SP. SALOTTI ET AL. 1997	sp. nov.	1
N. SP.2	sp. nov.	1
N. SP.3	sp. nov.	1
N. SP.4	sp. nov.	1
N. SP.A	sp. nov	1
N.SP.	sp. nov.	1
N.SP. "COMMON"	sp. nov.	1
N.SP. "TAVI"	sp. nov.	1
N.SP. (CF. RETICULATUS)	sp. nov.	1
N.SP. (MS)	sp. nov.	1
N.SP. 1	sp. nov.	1
N.SP. 2	sp. nov.	1
N.SP. 3	sp. nov.	1
N.SP. 4	sp. nov	1
N.SP. 9	sp. nov.	1
N.SP. A	sp. nov.	1
N.SP. CF NOVAECALEDONIAE	sp. nov.	1
N.SP. 'COMMON'	sp. nov.	1
N.SP. CORAL SEA	sp. nov.	1
N.SP.1	sp. nov.	1
N.SP.2	sp. nov.	1
N.SP.3	sp. nov.	1
N.SP.SP.2	sp. nov.	1
N.SP.SP.3	sp. nov.	1
N.SP.SP.5	sp. nov.	1
N.SP.SP.7	sp. nov.	1
NEAR SP	cf.	1
NEAR SP.	cf.	1
NEW SP.	sp. nov.	1
NEW SP. 1	sp. nov.	1
NEW SP. 2	sp. nov.	1
NOT ID-ABLE TO SP. (WEIL 2004)	sp.	1
NOV GEN. NOV SP.2	gen. nov.	1
NOV SP.1	sp. nov.	1
NOV. GEN. NOV. SP.2	gen. nov.	1
NOV. SP.	sp. nov.	1
NOV. SP. 1	sp. nov	1
NOV. SP. 1 AFF. PRISCUS	sp. nov	1
NOV. SP. 2	sp. nov	1
NOV. SP. 2 AFF. PRISCUS	sp. nov	1
NOV. SP. 3	sp. nov	1
NOV. SUBSP.	ssp. nov.	1
NOVECRINITA N.	sp. nov.	1
NR	cf.	1
NR GN	cf.	1
NR SP	cf.	1
NR.	cf.	1
NSP. 6	sp. nov.	1
NYMPH SP. 1	sp.	1
NYMPH SP. 2	sp.	1
OI ?	id in question	1
OI CF	id in question	1
OKADAI N. SP.	sp. nov.	1
OKRA SP.1	sp.	1
OR ?	order in question	1
OR ? ;FA ?	order, family in question	1
OR ? ;FA ? ;GE ?	order, family, genus in question	1
OR ? ;SP ?	order in question	1
OR ? ;SP CF	order in question	1
OR ?, FA ?	order, family in question	1
OR ?, WORN	order in question	1
OR ?; FA ?	order, family in question	1
OR ?; SP ?	order in question	1
OR CARNIVORA	order in question	1
OR CF	cf.	1
OR M. SEMINOENSIS	species in question	1
OR NR	cf.	1
OR PLIOHIPPUS	genus in question	1
OREAS X NOCOMIS SP.	oreas x Nocomis sp.	1
OTOPHRYNE SP.	sp.	1
OVOPHIS MONTICOLO (GÜNTHER, 1964)		1
PALM SP. 1	palm sp. 1	1
PALM SP.1	palm sp.1	1
PANDORA X R. SP.	pandora X R. sp.	1
PATZNERI N. SP.	sp. nov.	1
PAULSONI SSP. TASMAI	ssp.	1
PERLATES (SUBSP.)	ssp.	1
PIPILODRYAS SP.	sp.	1
PLEXA SSP. S	ssp.	1
POSSIBLY GEN	genus in question	1
POSSIBLY GEN +SP	genus, species in question	1
POSSIBLY SP.	species in question	1
POTOMACENSIS SP. NOV.	sp. nov.	1
PROBABLE	id in question	1
PROBABLY	id in question	1
PROMOTUM SP. 1	sp.	1
PRONOTUM SP. 1	sp.	1
PRONOTUM SP. 2	sp.	1
PROSERPINA X NOTROPIS SP.	proserpina X Notropis sp.	1
PSEUDOLATOCHARA SP. – LATOCHARA SP.	Pseudolatochara sp. – Latochara sp.	1
PUPA SP. 2	sp.	1
PUPAE SP. 1	sp.	1
PUPAE SP. 3	sp.	1
PUPAE SP. 4	sp.	1
PUPAE SP. 5	sp.	1
PUPAE SP. 6	sp.	1
Q SP	species in question	1
QUADRIMUCRONATUS SSP. INDET.	ssp.	1
RAMOSE SP.	sp.	1
REGANI (N. SSP.)	ssp. nov.	1
REGULARIS X SP.	regularis x sp.	1
REMARKS:2 = W.D. DODD. NO. 451.B1002, B1003 PARATYPES OF PACHYCEPHALA RUFIVENTRIS MINOR, ZIETZ, 1914 (SEE SAOA 1(1):15. W.D. DODD NO. 519.		1
RHAMNOPHYLL SP.1	sp.	1
RHINA,BINOCULATA,INORNATA	species in question	1
RW SP. 18	sp.	1
RW SP. 23	sp.	1
RW SP. 25	sp.	1
RW SP. 26	sp.	1
RW SP. 28	sp.	1
RW SP. 34	sp.	1
RW SP. 50	sp.	1
RW SP. 62	sp.	1
RW SP. 68	sp.	1
RW SP.36	sp.	1
RW SP.50	sp.	1
RW SP.62	sp.	1
RW SP.63	sp.	1
S. ELLIOTI X G. SP.	S. ellioti X G. sp.	1
S.L.SP.	sp.	1
SAMARA-SP. 2	sp.	1
SAMARA-SP.2	sp.	1
SCINAX LESCUREI SP. NOV.	sp. nov.	1
SEE NOTES FOR REFERENCES		1
SEED GEN. A SP. A	gen. indet.	1
SEED GEN. A SP. B	gen. indet.	1
SEED GEN. B SP. A	gen. indet.	1
SEED GEN. B SP. B	gen. indet.	1
SEED GEN. C SP. A	gen. indet.	1
SEED GEN. D SP. A	gen. indet.	1
SENSU LATO	sensu lato	1
SG ?	genus, species in question	1
SG CF	cf.	1
SG CF;SP CF	cf.	1
SIGMODONTINAE		1
SMALL		1
SMALL SP.	sp.	1
SMOOTH SP.	sp.	1
SOME UNCERTAINTY AS TO IDENTIFICATION	id in question	1
SP	sp.	1
SP ?	species in question	1
SP CF	cf.	1
SP CF. SS CF	cf.	1
SP CF; WORN	cf.	1
SP D	sp.	1
SP NEAR	cf.	1
SP NR	cf.	1
SP.	sp.	1
SP.  A	sp.	1
SP.  SCI 170	sp.	1
SP. "6"	sp. nov.	1
SP. "A"		1
SP. "ATROX/PATROX"	sp.	1
SP. "B"	sp.	1
SP. "B&W"	sp.	1
SP. "B+W"	sp.	1
SP. "BIG EYES"	sp.	1
SP. "BLACK&WHITE"	sp.	1
SP. "BLOTCH"	sp.	1
SP. "BROAD STRIPE"	sp.	1
SP. "C"	sp.	1
SP. "CORTA"	sp.	1
SP. "DARK SPOTS"	sp.	1
SP. "FLAT"	sp.	1
SP. "FRECKLED"	sp.	1
SP. "HUMPHEAD"	sp.	1
SP. "KAZUMBE"	sp.	1
SP. "LINEA"	sp.	1
SP. "LONG ADIPOSE FIN"	sp.	1
SP. "MARBLED"	sp.	1
SP. "MOSHI"	sp.	1
SP. "MOTTLED"	sp.	1
SP. "ORIENTAL VIPERS COMPLEX"	sp.	1
SP. "PINTADO"	sp.	1
SP. "SADDLE"	sp.	1
SP. "SAWFIN SHINER"	sp.	1
SP. "SHORT ADIPOSE FIN"	sp.	1
SP. "URIQUE"	sp.	1
SP. "WALTERI"	sp.	1
SP. "WHITE CAUDAL EDGE"	sp.	1
SP. # 1	sp.	1
SP. #1	sp.	1
SP. #2	sp.	1
SP. #4	sp.	1
SP. ("ASPIS" COMPLEX)	sp.	1
SP. ("ORIENTAL VIPER" GROUP)	sp.	1
SP. (? ALBA)	sp.	1
SP. (? AZUREUS)	sp.	1
SP. (? FERNANDEZIANUS)	sp.	1
SP. (? HOLLANDI)	sp.	1
SP. (? LISPUS)	sp.	1
SP. (? N. SP.)	sp.	1
SP. (? NEWNESI)	sp.	1
SP. (? SINENSIS)	sp.	1
SP. (?PALUMBUS)	sp.	1
SP. (“EUROPEAN VIPERS” GROUP: “VIPERA ASPIS COMPLEX”)	sp.	1
SP. (“ORIENTAL VIPERS” GROUP)	sp.	1
SP. (A)	sp.	1
SP. (ALBINO)	sp.	1
SP. (ALNORUM OR TRAILLI ?)	sp.	1
SP. (ALTAMAZONICA COMPLEX)	sp.	1
SP. (AMMOCEOTES)	sp.	1
SP. (AMMOCOETE)	sp.	1
SP. (AMMOCOETES)	sp.	1
SP. (ARFAKIANA GROUP)	sp.	1
SP. (B)	sp.	1
SP. (BASIN FORM)	sp.	1
SP. (BICOLOR COMPLEX)	sp.	1
SP. (BOGOTENSIS GROUP)	sp.	1
SP. (BRANCHING)	sp.	1
SP. (BROAD HEAD)	sp.	1
SP. (BROADTAIL MADTOM)	sp.	1
SP. (C)	sp.	1
SP. (C.F. EUROPAEUS)	sp.	1
SP. (CALAMARINA-GROUP)	sp.	1
SP. (CATHARINAE-GROUP)	sp.	1
SP. (CAURA, ORINOCO)	sp.	1
SP. (CEPHALICA-CLADE)	sp.	1
SP. (CF. BREVISPINIS)	cf. brevispinis	1
SP. (CF. EOS)	cf. eos	1
SP. (CF. FLAVOBRUNNEUS)	cf. flavobrunneus	1
SP. (CF. LIMBATUS)	cf. limbatus	1
SP. (CF. MEDITERRANEUS)	cf. mediterraneus	1
SP. (CF. MELANOSTOMA)	cf. melanostoma	1
SP. (CF. MINUTILUS)	cf. minutilus	1
SP. (CF. MOLLIS)	cf. mollis	1
SP. (CF. PARADOXUM)	cf. paradoxum	1
SP. (CF. PLATOPHRYS)	cf. platophrys	1
SP. (CF. PULCHER)	cf. pulcher	1
SP. (CF. VALDIVIAE)	cf. valdiviae	1
SP. (CF. VEXILLARIS)	cf. vexillaris	1
SP. (CHALCONOTA-GROUP)	cf. vexillaris	1
SP. (COARSE RIBS)	sp.	1
SP. (COCOS LONG-NOSE)	sp.	1
SP. (COELOMYS)	sp.	1
SP. (D)	sp.	1
SP. (DENDRITICUS ?)	sp.	1
SP. (DRACO GROUP)	sp.	1
SP. (E)	sp.	1
SP. (E. UMBRINUS OR E. QUADRIVITTATUS)	sp.	1
SP. (EBELINGI ?)	species in question	1
SP. (ENCRUSTING)	sp.	1
SP. (F)	sp.	1
SP. (FUSCOAURATUS-GROUP)	sp.	1
SP. (FUSCUS COMPLEX)	sp.	1
SP. (GRAMMICUS-GROUP)	sp.	1
SP. (GROUP I)	sp.	1
SP. (GROUP II)	sp.	1
SP. ('GROUP II')	sp.	1
SP. (GROUP III)	sp.	1
SP. (HOLSTON)	sp.	1
SP. (HYBRID)	sp.	1
SP. (HYBRID?)	sp.	1
SP. (JOBIENSIS GROUP)	sp.	1
SP. (LARVA)	sp.	1
SP. (LATERALIS GROUP)	sp.	1
SP. (LEMNISCATUS-GROUP)	sp.	1
SP. (LESUEURII COMPLEX)	sp.	1
SP. (MACCONNELLI / OLEAGINEUS)	sp.	1
SP. (MACRONEMA)	sp.	1
SP. (MARGARITIFERA-COMPLEX)	sp.	1
SP. (MELANOLEUCUS-GROUP)	sp.	1
SP. (MELANONOTUS GROUP)	sp.	1
SP. (MIGRANS?)	sp.	1
SP. (NOTATUS-GROUP)	sp.	1
SP. (OCELLATUS-GROUP)	sp.	1
SP. (OCELLIFER-GROUP)	sp.	1
SP. (OCHROPHAEUS-COMPLEX)	sp.	1
SP. (PAPUA GROUP)	sp.	1
SP. (PARVICEPS GROUP)	sp.	1
SP. (PEREGRINA OR RUFICAPILLA ?)	sp.	1
SP. (PERPUSILLUS GROUP)	sp.	1
SP. (PHILADELPHIA X TOLMEI)	philadelphia X tolmei	1
SP. (PINK)	sp.	1
SP. (PIPIENS COMPLEX)	sp.	1
SP. (PODICIPINUS-WAGNERI COMPLEX)	sp.	1
SP. (POOR CONDITION)	sp.	1
SP. (POSSIBLY BIFILIS)	sp.	1
SP. (POSSIBLY TOLMIEI)	sp.	1
SP. (PRATTI GROUP)	sp.	1
SP. (PROB. HYBRID ELEGANS X FLAVEOLUS)	sp.	1
SP. (QUECHUA-GROUP)	sp.	1
SP. (REDBAND)	sp.	1
SP. (RK SP3)	sp.	1
SP. (RUBER GROUP)	sp.	1
SP. (SAJORI)	sp.	1
SP. (SCHMIDTI-GROUP)	sp.	1
SP. (SHAG)	sp.	1
SP. (SPECIOSA OR TRICHAS)	sp.	1
SP. (SPUMARIUS-COMPLEX)	sp.	1
SP. (STANLEYANA GROUP)	sp.	1
SP. (STAURIPHORA)	sp.	1
SP. (TAENIURA)	sp.	1
SP. (TALLAPOOSA SCULPIN)	sp.	1
SP. (TEMPORARIA-GROUP)	sp.	1
SP. (TRAILII / ALNORUM [?])	sp.	1
SP. (TYPE A)	sp.	1
SP. (TYPE B)	sp.	1
SP. (URUNGUENSIS-GROUP)	sp.	1
SP. (VARIEGATUS-GROUP)	sp.	1
SP. (VIPERA ASPIS COMPLEX)	sp.	1
SP. (VIPERA BERUS COMPLEX)	sp.	1
SP. (WHITE)	sp.	1
SP. (XANTHA MS)	sp.	1
SP. (YELLOW)	sp.	1
SP. ?	species in question	1
SP. ??	species in question	1
SP. ???	species in question	1
SP. [? TERMINATA]	cf. terminata	1
SP. “ADIPOSA LARGA”	sp.	1
SP. “BANDED”	sp.	1
SP. “BROWN”	sp.	1
SP. “BRYCONAMERICUS”	sp.	1
SP. “BULLOCKI”	sp.	1
SP. “CHATA”	sp.	1
SP. “CHATTA”	sp.	1
SP. “CHEIRODON”	sp.	1
SP. “CIRCLE E”	sp.	1
SP. “COMMA”	sp.	1
SP. “COMMON”	sp.	1
SP. “DARK”	sp.	1
SP. “DEEP BODY”	sp.	1
SP. “DITTO”	sp.	1
SP. “DORSAL SPOT”	sp.	1
SP. “DORSAL WHITE SPOTS”	sp.	1
SP. “ESSEQUIBO”	sp.	1
SP. “FLAT”	sp.	1
SP. “FUSED SADDLES”	sp.	1
SP. “GHOST”	sp.	1
SP. “GUAPUCHE”	sp.	1
SP. “HALF STRIPE”	sp.	1
SP. “HUGE SCALES”	sp.	1
SP. “INCOMPLETE”	sp.	1
SP. “IRENG”	sp.	1
SP. “LINE”	sp.	1
SP. “LONG”	sp.	1
SP. “MEMBRANE”	sp.	1
SP. “MUSCADINE DARTER”	sp.	1
SP. “MUY LARGA”	sp.	1
SP. “NO SPOT”	sp.	1
SP. “NO SPOTS”	sp.	1
SP. “NO STRIPE”	sp.	1
SP. “ORANGE HUMERAL”	sp.	1
SP. “PLAIN”	sp.	1
SP. “PSEUDO-BROWNI”	sp.	1
SP. “PSEUDOGEPHYROCHARAX”	sp.	1
SP. “PSEUDOMICROSTOMUS”	sp.	1
SP. “SAWFIN SHINER”	sp.	1
SP. “SHORT ANAL FIN”	sp.	1
SP. “SHORT”	sp.	1
SP. “SILVER STRIPE”	sp.	1
SP. “SLENDER”	sp.	1
SP. “SLIM”	sp.	1
SP. “SMALL SADDLE”	sp.	1
SP. “SPOT”	sp.	1
SP. “SPOTS IN STRIPE”	sp.	1
SP. “STRIPETAIL”	sp.	1
SP. “TAKUTU 2”	sp.	1
SP. “TAKUTU”	sp.	1
SP. “TENCUANENSIS”	sp.	1
SP. “UPPER CAUDAL SPOT”	sp.	1
SP. “VENTUARI”	sp.	1
SP. “WHITE DOTS”	sp.	1
SP. “WIDE LINE”	sp.	1
SP. “WIDE STRIPE”	sp.	1
SP. “YUPUKARI”	sp.	1
SP. <20 MICROMETERS	sp.	1
SP. <29 MICROMETERS	sp.	1
SP. 1	sp.	1
SP. '1'	sp.	1
SP. 1 – SP. 5	sp.	1
SP. 1 (CF. MACROPHTHALMA)	cf. macrophthalma	1
SP. 1 (LARGE)	sp.	1
SP. 1 AFF. LIRATA	sp.	1
SP. 1 AFF. RADIALIS	sp.	1
SP. 1 GR. COSTATUM	sp.	1
SP. 1 LINDSTRÖM	sp.	1
SP. 1 MORPHOTYPE 13	sp.	1
SP. 1 MORPHOTYPE 7	sp.	1
SP. 1 MORPHOTYPE 8	sp.	1
SP. 1 NOV	sp. nov.	1
SP. 1.	sp.	1
SP. 10	sp.	1
SP. 11	sp.	1
SP. 12	sp.	1
SP. 13	sp.	1
SP. 14	sp.	1
SP. 15	sp.	1
SP. 16	sp.	1
SP. 17	sp.	1
SP. 18	sp.	1
SP. 19	sp.	1
SP. 2	sp.	1
SP. '2'	sp.	1
SP. 2 (SMALL)	sp.	1
SP. 2 AFF EMARGINATA	sp.	1
SP. 2 AFF. CHAOI	sp.	1
SP. 2 AFF. RADIALIS	sp.	1
SP. 2 GR. COSTATUM	sp.	1
SP. 2 LARVA	sp.	1
SP. 2 MORPHOTYPE 14	sp.	1
SP. 2 MORPHOTYPE 9	sp.	1
SP. 2 RETICULATE	sp.	1
SP. 2.	sp.	1
SP. 20	sp.	1
SP. 21	sp.	1
SP. 22	sp.	1
SP. 23	sp.	1
SP. 24	sp.	1
SP. 25	sp.	1
SP. 26	sp.	1
SP. 27	sp.	1
SP. 28	sp.	1
SP. 29	sp.	1
SP. 3	sp.	1
SP. 3 - COLORADO	sp.	1
SP. 3 (CF. ORIENTALIS)	cf. orientalis	1
SP. 30	sp.	1
SP. 303	sp.	1
SP. 304	sp.	1
SP. 305 LONGIMANUS	sp.	1
SP. 306 (PARACANTHUS)	sp.	1
SP. 307 (BILINEATUS)	sp.	1
SP. 308 (COMATUS)	sp.	1
SP. 309 (RECTISETUS)	sp.	1
SP. 31	sp.	1
SP. 311	sp.	1
SP. 312	sp.	1
SP. 314 XAVIERFILHOI	sp.	1
SP. 316 HOLDENAE	sp.	1
SP. 319 MARINHOI	sp.	1
SP. 32	sp.	1
SP. 324	sp.	1
SP. 325	sp.	1
SP. 326 AMATI	sp.	1
SP. 328 RICCARDIAE	sp.	1
SP. 33	sp.	1
SP. 330	sp.	1
SP. 338 NOCTURNIGRUS	sp.	1
SP. 34	sp.	1
SP. 35	sp.	1
SP. 36	sp.	1
SP. 37	sp.	1
SP. 38	sp.	1
SP. 39	sp.	1
SP. 3B	sp.	1
SP. 3C	sp.	1
SP. 3D	sp.	1
SP. 3F	sp.	1
SP. 3G	sp.	1
SP. 3H	sp.	1
SP. 3I	sp.	1
SP. 3J	sp.	1
SP. 3K	sp.	1
SP. 3L	sp.	1
SP. 3M	sp.	1
SP. 3N	sp.	1
SP. 3O	sp.	1
SP. 3P	sp.	1
SP. 4	sp.	1
SP. 4 DFH	sp.	1
SP. 40	sp.	1
SP. 41	sp.	1
SP. 42	sp.	1
SP. 43	sp.	1
SP. 44	sp.	1
SP. 45	sp.	1
SP. 46	sp.	1
SP. 47	sp.	1
SP. 48	sp.	1
SP. 49	sp.	1
SP. 5	sp.	1
SP. 5 "WA ALLPORTI"	sp.	1
SP. 5 AFF. WAAGENI	sp.	1
SP. 50	sp.	1
SP. 51	sp.	1
SP. 52	sp.	1
SP. 53	sp.	1
SP. 54	sp.	1
SP. 55	sp.	1
SP. 56	sp.	1
SP. 57	sp.	1
SP. 58	sp.	1
SP. 59	sp.	1
SP. 6	sp.	1
SP. 6.	sp.	1
SP. 60	sp.	1
SP. 62	sp.	1
SP. 7	sp.	1
SP. 7 DFH	sp.	1
SP. 7 PUPA	sp.	1
SP. 7A	sp.	1
SP. 8	sp.	1
SP. 9	sp.	1
SP. 9 DFH	sp.	1
SP. 9 PUPA	sp.	1
SP. A	sp.	1
SP. A  (N. SP.)	sp. nov.	1
SP. A AFF. GRANULOSUS	aff. granulosus	1
SP. A CASIER AND LETHIERS 1998	sp.	1
SP. A CASIER AND LETHIERS, 1998	sp.	1
SP. A CF. PSEUDOFORBESI	cf. pseudoforbesi	1
SP. A JOHNSON	sp.	1
SP. A OF BOYCE 1989	sp.	1
SP. A OF MCKELLAR	sp.	1
SP. A SENSU BENGTSON 1990	sp.	1
SP. A SENSU RISTEDT	sp.	1
SP. A SENSUS BECKER (1971)	sp.	1
SP. A WITZKE 1976	sp.	1
SP. A WITZKE AND STRIMPLE	sp.	1
SP. A.	sp.	1
SP. A. WILLIAMS IN WILLIAMS ET AL. 1987	sp.	1
SP. A/C	sp.	1
SP. A0	sp.	1
SP. A02	sp.	1
SP. A1	sp.	1
SP. A2	sp.	1
SP. A3	sp.	1
SP. A4	sp.	1
SP. A5	sp.	1
SP. A6	sp.	1
SP. A-C	sp.	1
SP. A-D	sp.	1
SP. AFF. ATTENUATUM TYPE 2	sp.	1
SP. AFF. FURCATUM TYPE 1	sp.	1
SP. AFF. GALAXIAS	aff. galaxias	1
SP. AFF. JAEGERSTENI TYPE 1	sp.	1
SP. AFF. LAVENBERGI	aff. lavenbergi	1
SP. AFF. LYSINA	aff. lysina	1
SP. AFF. MARINUS	aff. marinus	1
SP. AFF. PUNCTITAENIATUS	aff. punctitaeniatus	1
SP. ALBOGULARIS	sp.	1
SP. ALPHA	sp.	1
SP. AR4	sp.	1
SP. B	sp.	1
SP. B (D?)	sp.	1
SP. B AFF. GRANULOSUS	aff. granulosus	1
SP. B CF. PARAFORBESI	cf. paraforbesi	1
SP. B IMBRIE	sp.	1
SP. B LETHIERS AND CASIER 1996	sp.	1
SP. B SENSU RISTEDT	sp.	1
SP. B SENSU WIDZ 1991	sp.	1
SP. B WITZKE 1976	sp.	1
SP. B WITZKE AND STRIMPLE	sp.	1
SP. B, GEN. AND SP. INDET.	gen. indet.	1
SP. B.	sp.	1
SP. B0	sp.	1
SP. B01	sp.	1
SP. B1	sp.	1
SP. B2	sp.	1
SP. B3	sp.	1
SP. B4	sp.	1
SP. B5	sp.	1
SP. BBN1	sp.	1
SP. BBP1	sp.	1
SP. BBP2	sp.	1
SP. BBP3	sp.	1
SP. BENNETTI	sp.	1
SP. 'BLUESTONE SCULPIN'	sp.	1
SP. BONGOLONENSIS	sp.	1
SP. 'BRINDISI'	sp.	1
SP. 'BROADTAIL'	sp.	1
SP. BSN1	sp.	1
SP. BSN2	sp.	1
SP. BSN9	sp.	1
SP. BSNX	sp.	1
SP. BSP1	sp.	1
SP. BSP2	sp.	1
SP. BSP4	sp.	1
SP. BUTLER	sp.	1
SP. 'BUTTERFLY'	sp.	1
SP. C	sp.	1
SP. C BRANSON 1937	sp.	1
SP. C WITZKE AND STRIMPLE	sp.	1
SP. C&K	sp.	1
SP. C.	sp.	1
SP. C.F. ARCTICUS	cf. arcticus	1
SP. C.F. CARBONARIA	cf. carbonaria	1
SP. C.F. NIGROFASCIATA	cf. nigrofasciata	1
SP. C0	sp.	1
SP. C1	sp.	1
SP. C2	sp.	1
SP. C3	sp.	1
SP. CF PTEROIDES	cf. pteroides	1
SP. CF.	cf.	1
SP. CF. AESTIVALIS	cf. aestivalis	1
SP. CF. AESTIVALIS “A”	cf. aestivalis	1
SP. CF. AESTIVALIS “B”	cf. aestivalis	1
SP. CF. AESTIVALIS “C”	cf. aestivalis	1
SP. CF. AESTIVALIS A	cf. aestivalis	1
SP. CF. AESTIVALIS B	cf. aestivalis	1
SP. CF. AESTIVALIS C	cf. aestivalis	1
SP. CF. AESTIVALIS D	cf. aestivalis	1
SP. CF. AESTIVALIS 'D'	cf. aestivalis	1
SP. CF. ALBIFIMBRIA	cf. albifimbria	1
SP. CF. ALFARI	cf. alfari	1
SP. CF. ASPERIFRONS	cf. asperifrons	1
SP. CF. ASPRIGENE	cf. asprigene	1
SP. CF. AUREUM	cf. aureum	1
SP. CF. AUSTRINUM	cf. austrinum	1
SP. CF. BAIRDI	cf. bairdi	1
SP. CF. BAIRDI 'HUBBSI'	cf. bairdi	1
SP. CF. BAIRDI 'SMOKY'	cf. bairdi	1
SP. CF. BAIRDII	cf. bairdii	1
SP. CF. BALTEATUS	cf. balteatus	1
SP. CF. BARDI	cf. bairdi	1
SP. CF. BELDINGI	cf. beldingi	1
SP. CF. BELLATOR	cf. bellator	1
SP. CF. BUCHIANUS	cf. buchianus	1
SP. CF. CAERULEOMENTUM	cf. caeruleomentum	1
SP. CF. CAERULEUM	cf. caeruleum	1
SP. CF. CAPRODES	cf. caprodes	1
SP. CF. CARBONARIA	cf. carbonaria	1
SP. CF. CAROLINAE	cf. carolinae	1
SP. CF. CLARKI	cf. clarki	1
SP. CF. COGNATUS	cf. cognatus	1
SP. CF. COOSAE	cf. coosae	1
SP. CF. CUBANA	cf. cubana	1
SP. CF. CYPRINUS	cf. cyprinus	1
SP. CF. CYPRINUS X VELIFER	cf. cyprinus x velifer	1
SP. CF. CYRANO	cf. cyrano	1
SP. CF. DITREMA	cf. ditrema	1
SP. CF. DURYI	cf. duryi	1
SP. CF. ELONGATUS	cf. elongatus	1
SP. CF. EPISCOPA	cf. episcopa	1
SP. CF. ERYTHROGASTER	cf. erythrogaster	1
SP. CF. FENESTRATUM	cf. fenestratum	1
SP. CF. FLORIDAE	cf. floridae	1
SP. CF. GAGEI	cf. gagei	1
SP. CF. HEMIURUS	cf. hemiurus	1
SP. CF. HYPSELOPTERUS	cf. hypselopterus	1
SP. CF. LACHNERI	cf. lachneri	1
SP. CF. LENTIGNOSUM	cf. lentignosum	1
SP. CF. LEPTACANTHUS	cf. leptacanthus	1
SP. CF. LEUCIODUS	cf. leuciodus	1
SP. CF. LONGIROSTRIS	cf. longirostris	1
SP. CF. MACROCEPHALA	cf. macrocephala	1
SP. CF. MACULATA	cf. maculata	1
SP. CF. MELANONOTATA	cf. melanonotata	1
SP. CF. MUNITUS	cf. munitus	1
SP. CF. MYKISS	cf. mykiss	1
SP. CF. OCCIDENTALIS	cf. occidentalis	1
SP. CF. P. RETUSUM	cf. retusum	1
SP. CF. PALMARIS	cf. palmaris	1
SP. CF. PANTOSTICTUM	cf. pantostictum	1
