processingID	eventDate	EarliestDateCollected	LatestDateCollected	verbatimEventDate	beginYear	beginMonth	beginDay	endyear	endmonth	endday	startDayOfYear	endDayOfYear	year	month	day	beginDate	endDate	nyear	nmonth	nday	l4	r4	expectedeventDate
21	1963-03-08	1963-03-08	1963-03-08	19630308	1963	3	8	1963	3	8	67	67	1963	3	8	1963-03-08	1963-03-08	1963	3	8	1963	3-08	1963-03-08
22	1947-11	1947-11	1947-11	XX NOV 1947	1947	11		1947	11				1947	11		1947-11	1947-11	1947	11		1947	7-11	1947-11
23	1947	1947	1947	23 XXX 1947	1947		23	1947		23			1947		23	1947	1947	1947		23	1947	1947	1947
24	1974	1974	1974	XX XXX 1974	1974			1974					1974			1974	1974	1974			1974	1974	1974
25	1980/1989	1980	1989	1980s	1980			1989								1980	1989				1989	1989	1980/1989
26	1990-07-19/1990-07-21			19-21 vii 1990	1990	7	19	1990	7	21	200	202	1990	7		1990-07-19	1990-07-21	1990	7				1990-07-19/1990-07-21
27	2000-02-09/2000-03-10			9 ii-10 iii 2000	2000	2	9	2000	3	10	40	70	2000			2000-02-09	2000-03-10	2000					2000-02-09/2000-03-10
28	1996-11			xi 1996	1996	11		1996	11				1996	11		1996-11	1996-11	1996	11				1996-11
29	2000-01-12			12 i 2000	2000	1	12	2000	1	12	12	12	2000	1	12	2000-01-12	2000-01-12	2000	1	12			2000-01-12
30	1993-10-15			15 x 1993	1993	10	15	1993	10	15	288	288	1993	10	15	1993-10-15	1993-10-15	1993	10	15			1993-10-15
31	1930	1930	1930	193-	1930			1930					1930			1930	1930	1930			1930	1930	1930
32				27-28 xi[no year]																			
33				29 vi-13 vii-2001																			no algorithm yet
34	1988			[no date] 1988	1988			1988					1988			1988	1988	1988					1988
35	1997-12			purchased Dec 1997	1997	12		1997	12				1997	12		1997-12	1997-12	1997	12				1997-12
36				18 x 1984-em 5 xi 84			18																
37				21 vii																			
38				4 May																	4 Ma	 May	
39	1929	1929	1929	1929	1929			1929					1929			1929	1929	1929			1929	1929	1929
40	1930	1930	1930	1930	1930			1930					1930			1930	1930	1930			1930	1930	1930
41	1993-10-17	17 Oct - 1993	17 Oct - 1993	17 Oct - 1993	1993	10	17	1993			290		1993			1993-10-17		1993			17 O	1993	
42		Aug  1987	Aug  1987	Aug  1987	1987			1987					1987					1987			Aug 	1987	
43	1986-01	Jan 1 1986	Jan 1 1986	Jan 1 1986	1986	1		1986	1				1986	1		1986-01	1986-01	1986	1		Jan 	1986	
44	1985	jan 19 1985	jan 19 1985	jan 19 1985	1985			1985					1985			1985	1985	1985			jan 	1985	
45	1984-02	Dec 2 1984	Dec 2 1984	Dec 2 1984	1984	2		1984	2				1984	2		1984-02	1984-02	1984	2		Dec 	1984	
46				Sept -Oct  1982	1982			1982					1982					1982					
47	2011-08/2012-06	2011-08	2012-06	2011-08/2012-06	2011	8		2012	6							2011-08	2012-06				2012	2-06	
48	1985-05-09	5/9/1985	5/9/1985	5/9/1985	1985	5	9	1985	5	9	129	129	1985	5	9	1985-05-09	1985-05-09	1985	5	9	5/9/	1985	
