sex	standard	vetted
(UNDETERMINED)	unknown	1
(UNDETERMINED), JUVENILE	unknown	1
(UNSEXED)	unknown	1
*	unknown	1
--*	unknown	1
,		1
.		1
/	unknown	1
?	in question	1
--?	in question	1
-?-	in question	1
? - HY		1
? (F)	in question	1
? (M)	in question	1
? (SIGN BLURRED)	in question	1
? *	in question	1
? [=F]	in question	1
? [=M?]	in question	1
? [=M]	in question	1
? [M]	in question	1
? [MALE]	in question	1
? [SURELY F]	in question	1
? = F	in question	1
? = M	in question	1
? 1971HY		1
? 2ND YR.		1
? AD.	in question	1
? AGE 2 DAYS		1
? AGE 6 DAYS		1
? BR.	in question	1
? CHICK		1
? CHICK 3 DAYS OLD		1
? CHICK, 3 DAYS OLD		1
? CHICK, ALMOST FLEDGED		1
? F	in question	1
? IMM	unknown	1
? IMM.		1
? JUV	in question	1
? JUV.	unknown	1
? M	in question	1
? M.	in question	1
? YOUNG		1
?*	in question	1
?, ADULT	in question	1
?, IMMATURE	in question	1
?, JUVENILE	in question	1
?. ADULT	in question	1
?/5 DAYS OLD		1
?/IMM.		1
?/JUV.		1
??	in question	1
--?[=F]	in question	1
?[=FEMALE]	in question	1
--?[=M]	in question	1
?[F]	in question	1
?[FEMALE]	in question	1
?[ILLEG] [M]	in question	1
?[M]	in question	1
?=F	in question	1
?=M	in question	1
?F	in question	1
?FEMALE	in question	1
?M	in question	1
?M*	in question	1
?MALE	in question	1
["M" OR F ?]	in question	1
[?]	in question	1
[?F]	in question	1
[?FEMALE]	in question	1
[[ILLEG]]	unknown	1
[=F?]M	in question	1
--[=F]	female	1
[=M ?]	in question	1
[=M]	male	1
--[=M]	male	1
[=M] F	unknown	1
[=M]F	unknown	1
[1ST SPRING MALE]	male	1
[AD.]	unknown	1
[ADM]	unknown	1
[ADULT ?] [FEMALE ?]	in question	1
[ADULT ?] FEMALE	female	1
[ADULT ?] MALE	male	1
[ADULT FEMALE ?]	in question	1
[ADULT] FEMALE	female	1
[AGE ?] [SEX ?]	in question	1
[AGE ?] MALE	male	1
[ALMOST SURELY A F]	female	1
[APP F]	female	1
--[APP. F]	female	1
[F ?]	in question	1
[F ?] M	in question	1
[F ]	female	1
[F M]	unknown	1
[F OR M]	unknown	1
--[F OR M]	unknown	1
[F PRACT. CERTAINLY]	female	1
[F?]	in question	1
--[F?]	in question	1
[F]	female	1
--[F]	female	1
[F]-	female	1
[F] "M"	unknown	1
[F] ?	in question	1
[F] ? M	in question	1
[F] [M]	unknown	1
[F] F	female	1
[F] M	unknown	1
[F] SEE COLLECTOR'S NOTES	female	1
[F], ADULT	female	1
[F], IMMATURE	female	1
[F]?	in question	1
[F]=(M)	unknown	1
[F]M	unknown	1
[F]SIC	female	1
[F}	female	1
[FEMALE ?]	in question	1
[FEMALE?]	in question	1
[FEMALE?] BY PLUMAGE	in question	1
[FEMALE]	female	1
[FEMALE]?	in question	1
[ILLEG.]	unknown	1
[ILLEG]	unknown	1
[ILLEG] F	female	1
[ILLEG] LIGHT PENCIL MARKINGS	unknown	1
[ILLEG].	unknown	1
[ILLEG]?	in question	1
[ILLEG]F	female	1
--[ILLEG]F	female	1
[ILLEG]M	male	1
[IM.]	unknown	1
[IMMATURE ?] [SEX ?]	unknown	1
[IMMATURE ?] FEMALE	female	1
[IMMATURE ?] MALE	male	1
[IMMATURE MALE ?]	in question	1
[JUV. CHICK]	unknown	1
[JUV. MALE]	male	1
[JUV.]	unknown	1
[JUVENILE ?] FEMALE	female	1
[JUVENILE ?] MALE	male	1
[M	male	1
[M ?]	in question	1
[M ?] (ILLEG.)	in question	1
[M IMM.]F	unknown	1
[M IMM]	male	1
[M PRACT. CERTAINLY]	male	1
[M?]	in question	1
[M]	male	1
--[M]	male	1
[M] ?	in question	1
[M] F	unknown	1
[M] SEE COLLECTOR'S NOTES	male	1
[M]"F"	unknown	1
[M], ADULT	male	1
[M]?	in question	1
[M]F	unknown	1
[M]NS	male	1
[M=] F	unknown	1
[MALE ?]	in question	1
[MALE?]	in question	1
[MALE]	male	1
[MALE] BY PLUMAGE	male	1
[SEX ?]	in question	1
[SIZE FEMALE]	female	1
[SUBADULT ?] MALE	male	1
[SUB-ADULT FEMALE ?]	in question	1
[SURELY F]	female	1
[U]	unknown	1
]	unknown	1
_	unknown	1
`	unknown	1
{F}	female	1
{FEMALE}	female	1
{M]	male	1
{M}	male	1
{MALE}	male	1
~	unknown	1
<	unknown	1
<NO DATA>		1
=[F]M	unknown	1
>		1
♀	female	1
♀ IMM.	female	1
♀ IMMATURE	female	1
♀ YOUNG	female	1
♀&♂	female | male	1
♀?	in question	1
♂	male	1
♂ IMMATURE	male	1
♂ YOUNG	male	1
♂?	in question	1
♂? ADULT	in question	1
0		1
0?	unknown	1
06-MAR-21	unknown	1
07-OCT-26	unknown	1
09-MAR-32	unknown	1
1	unknown	1
1 F, 1 M	female | male	1
1 F, 2 M	female | male	1
1 F, 3 M	female | male	1
1 F, 4 M	female | male	1
1 FEMALE	female	1
1 FEMALE,	female	1
1 HEMIPENE, THROAT WHITE, SCALES		1
1 M,1 F SUBAD, 21 U	female | male	1
1 MALE	male	1
1 MALE, 1 FEMALE	female | male	1
10 FEMALES, 64 MALES	female | male	1
11	unknown	1
11 F, 1 M	female | male	1
13	unknown	1
1360		1
152	unknown	1
154	unknown	1
157	unknown	1
16 F, 10 M	female | male	1
16 YEAR OLD FEMALE	female	1
162	unknown	1
166	unknown	1
17.5	unknown	1
170	unknown	1
171	unknown	1
173	unknown	1
174	unknown	1
175	unknown	1
176	unknown	1
177	unknown	1
180	unknown	1
184	unknown	1
186	unknown	1
19-MAR-21	unknown	1
1ST YEAR FEMALE	female	1
1ST YEAR MALE	male	1
2	unknown	1
2 F, 1 JUV	female | unknown	1
2 F, 1 M	female | male	1
2 F, 2 M	female | male	1
2 F, 2 U	female | unknown	1
2 FEMALE	female	1
2 FEMALE, 1 MALE	female | male	1
2 M, 1 F	female | male	1
2 MALE	male	1
2 MALES	male	1
2 MALES, 2 FEMALES	female | male	1
2 NESTLINGS		1
2 NESTLINGS [SEX ?]	in question	1
223	unknown	1
227	unknown	1
239	unknown	1
249	unknown	1
263.5	unknown	1
274	unknown	1
298	unknown	1
2F	female	1
2ND YEAR MALE	male	1
3	unknown	1
3 EXX.		1
3 F, 1 M	female | male	1
3 F, 3 M	female | male	1
3 MALES, FEMALE	female | male	1
3207 111/95/IV	unknown	1
335	unknown	1
340	unknown	1
348	unknown	1
36010	unknown	1
361	unknown	1
4		1
4 F, 1 M	female | male	1
4 F, 2 M	female | male	1
4 FEMALE,	female	1
4 MACHOS;  4 HEMBRAS; 1 INDETERM	4 males | 4 females | 1 unknown	1
46		1
47		1
48		1
5		1
5 F, 1 M	female | male	1
58	unknown	1
5M,2F	female | male	1
6	unknown	1
6F	female	1
7		1
7 FEMALE,	female	1
7M,6F	female | male	1
9+ YEARS OLD		1
A	unknown	1
A M	male	1
A: FEMALE	female	1
AD	unknown	1
AD SEX ?	in question	1
AD. ?	in question	1
AD. ? FEMALE	in question	1
AD. ? MALE	in question	1
AD. FEMALE (LIKELY)	female	1
AD. MALE?	in question	1
AD.?	in question	1
AD.? FEMALE	in question	1
AD.? MALE	in question	1
AD?	in question	1
ADM	unknown	1
ADULT		1
ADULT (DRY SHELL)		1
ADULT [FEMALE ?]	in question	1
ADULT [FEMALE?]	in question	1
ADULT [FEMALE]	female	1
ADULT [MALE ?]	in question	1
ADULT [MALE?]	in question	1
ADULT [SEX ?]	in question	1
ADULT + [JUVENILE]	unknown	1
ADULT F	female	1
ADULT FEMALE	female	1
ADULT FEMALE (BY SIZE)	female	1
ADULT FEMALE (GRAVID)	female	1
ADULT FEMALE [= A MALE]	female	1
ADULT FEMALE W/ 12 EGGS (EEGS LO	female	1
ADULT FEMALE, 240-208-80-17	female	1
ADULT FEMALE, 29.9 G, SKIN CLIP 	female	1
ADULT FEMALE, 521G, SVL 1120 MM,	female	1
ADULT FEMALE, GRAVID	female	1
ADULT FEMALE, LAID 4 EGGS 25-26 	female	1
ADULT FEMALE, LIVER TISSUE TAKEN	female	1
ADULT FEMALE, SVL 179 MM, TAIL 2	female	1
ADULT FEMALE, SVL 182 MM, TAIL 3	female	1
ADULT FEMALE, SVL 600 MM, TAIL 1	female	1
ADULT FEMALE, SVL 673MM, TAIL 18	female	1
ADULT FEMALE, TISSUE-LIVER SAMPL	female	1
ADULT MALE	male	1
ADULT MALE [= A FEMALE]	in question	1
ADULT MALE [FEMALE ?]	in question	1
ADULT MALE BY PLUMAGE	male	1
ADULT MALE(?), GONAD SHOT	male	1
ADULT MALE,  SVL 1020 MM, TAIL 9	male	1
ADULT MALE, LIVER TISSUE TAKEN	male	1
ADULT MALE, LVER TISSUE TAKEN	male	1
ADULT MALE, SVL 1453 MM, TAIL 51	male	1
ADULT MALE, SVL 163 MM, TAIL 32.	male	1
ADULT MALE, SVL 210 MM, TAIL 259	male	1
ADULT MALE, SVL 560 MM, TAIL 290	male	1
ADULT MALE, SVL 71 MM	male	1
ADULT MALE, TISSUE AT LSU	male	1
ADULT MALE, TISSUE-LIVER SAMPLE 	male	1
ADULT MALE, TISSUE-SCALE CLIPS	male	1
ADULT MALE, TOTAL LENGTH (VISUAL	male	1
ADULT SVL 312MM,TAIL 144MM		1
ADULT TAIL CLIP TISSUE		1
ADULT TAIL TISSUE CLIP		1
ADULT WITH TAIL CLIP TISSUE		1
ADULT WITH TISSUE		1
ADULT,  SVL 216 MM, TAIL 20 MM, 		1
ADULT,  SVL 235 MM, TAIL 30 MM, 		1
ADULT, 361 MM SVL, TAIL 67 MM, 1		1
ADULT, 43 CM TL		1
ADULT, 64 CM TOTAL LENGTH		1
ADULT, BLACK PHASE		1
ADULT, CA 65 CM TOTAL LENGTH		1
ADULT, CEREBERUS		1
ADULT, FEMALE?	female	1
ADULT, FEMALE? (SHORT TAIL; DID 	female	1
ADULT, LIVER TISSUE		1
ADULT, LIVER TISSUE TAKEN		1
ADULT, SKIN CLIP TISSUE TAKEN		1
ADULT, SVL 235 MM		1
ADULT, SVL 237MM, TAIL 41 MM		1
ADULT, SVL 265 MM, TAIL 58 MM		1
ADULT, SVL 63 MM, TAIL 58 MM		1
ADULT, SVL 633 MM, TAIL 102.0 MM		1
ADULT, TAIL TISSUE TAKEN		1
ADULT, TISSUE (TAIL) TAKEN		1
ADULT, TISSUE AT LSU		1
ADULT, TISSUE LIVER SAMPLE		1
ADULT, TISSUE- SCALE CLIP		1
ADULT, TISSUE SCALE CLIPS		1
ADULT, TISSUE TAKEN FROM LEFT LE		1
ADULT, TISSUE TAKEN FROM RIGHT L		1
ADULT, TISSUE-LIVER		1
ADULT, TISSUE-LIVER SAMPLE		1
ADULT, TISSUE-LIVER SAMPLE TAKEN		1
ADULT, TISSUE-SCALE CLIPS		1
ADULT,LIVER TISSUE TAKEN		1
ADULT/FEMALE	female	1
ADULTS + NESTLINGS		1
AHY MALE	male	1
AHY-M	male	1
ALC.	unknown	1
AMPLEXING WITH UAZ50272		1
AMPLEXING WITH UAZ50273		1
AOR AT 0933 HRS, ACCIDENTALLY HI		1
AOR AT 1705 HRS, ACCIDENTALLY HI		1
APR	unknown	1
BANDED		1
BELLY MOTTLED; THROAT DARK; NARR		1
BELLY MOTTLED; THROAT SALT AND P		1
BICOLORED DEWLAP DARK ORANGE BAS		1
BICOLORED DEWLAP-DARK ORANGE BAS		1
BLACK THROAT		1
BLACK THROAT WITH WHITE SPOTS		1
BLANK	unknown	1
BLUE BELLY AND THROAT		1
BODY WITH SLIGHTLY MORE GREEN TH		1
BORN 7/18/1971 TO UAZ34319		1
BORN 7/19/1971 FROM UAZ34328		1
BOTH	hermaphrodite	1
BREEDING ADULT FEMALE	female	1
BROAD ORANGE LINE MID-DORSAL; TH		1
BROWN IN LIFE		1
BROWN NUPTIAL PADS, THROAT YELLO		1
BROWN NUPTIAL PADS, YELLOW THROA		1
CAPTIVE FOR CA 1 YEAR		1
CAT. SAYS M, LABEL SAYS M; MOUNT	male	1
CHICK		1
CHICK 3-6 DAYS		1
COCHISE		1
COULD NOT DETERMINE	indeterminable	1
D	unknown	1
DARK PHASE		1
DESCONEGUT	unknown	1
DESCONOCIDO	unknown	1
DETERMINE	unknown	1
DEWLAP BICOLOR-DARL ORANGE BASAL		1
DEWLAP TRICOLORED DARK ORANGE BA		1
DIED IN CONTAINER		1
DISCARDED		1
DISSECT	unknown	1
DORSUM OLIVE WITH SCATTERED BROW		1
DOWNY	unknown	1
DOWNY YOUNG [SEX ?]	in question	1
EGG		1
EGG MASSES		1
EGGS		1
EMB 1 EMB. 18MM	female	1
EMBRYO		1
ETOH TISSUE SAMPLE TAKEN		1
F	female	1
F-	female	1
F  [=M]	unknown	1
F  [F STRUCK THROUGH]	female	1
F  ADULT	female	1
F  AGE 5 YRS.	female	1
F  JUVENILE	female	1
F !	female	1
F & 2 JUV.	female	1
F (? M)	in question	1
F (?)	in question	1
F (=?)	in question	1
F (=M)	unknown	1
F (1ST YEAR)	female	1
F (BY DISSECTION)	female	1
F (BY PLUMAGE)	female	1
F (CAT. LISTS AS F JUV.)	female	1
F (CAT. SAYS NONE, LOOKS LIKE F)	female	1
F (CATALOGED M)	female	1
F (DARK)	female	1
F (FLACID)	female	1
F (FULL DEV. EGGS)	female	1
F (GRAN)	female	1
F (GRAN.)	female	1
F (HY)	female	1
F (LF 15X8)	female	1
F (LF=0.7)	female	1
F (LIGHT)	female	1
F (M ?)	in question	1
F (M JUV.)	unknown	1
F (M)	unknown	1
F (MP)	female	1
F (NO EMB)	female	1
F (ORIGINALLY CATALOGED AS F)	female	1
F (OSE)	female	1
F (PERF)	female	1
F (PROBABLY)	female	1
F (WITH CURVED LINE RESTING ON T	female	1
F )?)	in question	1
F *	female	1
F ?	in question	1
F ? (M ?)	in question	1
F ? (M J)	in question	1
F ? (M)	in question	1
F ? [=F]	in question	1
F ? [=M]	in question	1
F ? [M]	in question	1
F ? ARP	in question	1
F ? IMM	in question	1
F ? JUV	in question	1
F ? M	in question	1
F ? OR M?	in question	1
F ??	in question	1
F ?[=M]	in question	1
F [!]	female	1
F [?]	in question	1
F [= M]	unknown	1
F [=ALMOST SURE M]	male	1
F [=M ?]	in question	1
F [=M?]	in question	1
F [=M]	unknown	1
'F' [=M]	unknown	1
F [01710 CATALOGED AS M, 35517 A	female	1
F [F M]	unknown	1
F [F]	female	1
F [ILLEG.]	female	1
F [ILLEG]	female	1
F [JUVENILE]	female	1
F [LIKELY A M]	male	1
F [M ?]	in question	1
F [M LISTED ON TAG]	female	1
F [M!]	unknown	1
F [M?]	in question	1
F [M]	unknown	1
'F' [M]	unknown	1
F [M] ?	in question	1
F [M] CHECK	female	1
F [M]!	unknown	1
F [M=]	unknown	1
F [PERHAPS M ?]	in question	1
F [SIGN NOT VERY LEGIBLE]	female	1
F [SURE=M]	male	1
F +	female	1
F ++	female	1
F =	female	1
F = [M JUV.]?	in question	1
F = [M]	unknown	1
F = M	unknown	1
F =[M]	unknown	1
F =M ?	in question	1
F 10 DAYS OLD	female	1
F 1971HY	female	1
F 1976 HY	female	1
F 1977HY	female	1
F 1979HY	female	1
F 1980 HY	female	1
F 1980HY	female	1
F 1981 HY	female	1
F 1981HY	female	1
F 1ST YEAR	female	1
F 1ST YR.	female	1
F 1ST YR. HY	female	1
F 3 YRS.	female	1
F 5 YR.	female	1
F 6 DAYS OLD	female	1
F 6 YRS.	female	1
F 74HY	female	1
F AD	female	1
F AD.	female	1
F ADU.	female	1
F ADULT	female	1
F AGE 3 YRS.	female	1
F AGE 31 DAYS	female	1
F AGE 7 YRS.	female	1
F AGE 8 YRS.	female	1
F AGE 9 YRS.	female	1
F AHY	female	1
F BR	female	1
F BR.	female	1
F BY DISEECTION	female	1
F BY DISSECTION	female	1
F -CLASS IA-B	female	1
F F	female	1
F HATCHED ABOUT 1 JUNE, 1979	female	1
F IMM	female	1
F IMM.	female	1
F IMM. YY	female	1
F IMMATURE	female	1
F JUV	female	1
F JUV.	female	1
F JUV. WINTER PHASE	female	1
F JUV.NESTL	female	1
F JUV?	in question	1
F JUVENILE	female	1
F M	female | male	1
F M ?	in question	1
F MATE OF #358	female	1
F NESTLING	female	1
F NO EMB	female	1
F NO PL. SC.	female	1
F O.N.E.	female	1
F O.S.E.	female	1
F OR (M JUV)	unknown	1
F OR IMM	unknown	1
F OR JUV	unknown	1
F OR M	unknown	1
F OR M JUV	unknown	1
F PARTIAL IMM.	female	1
F PREGNANT	female	1
F PROB.	female	1
F S.AD.	female	1
F SUBAD.	female	1
F SUBADULT	female	1
F WITH EGGS	female	1
F	female	1
FFEMALE	female	1
FMALEFEMALE	female | male	1
F!	female	1
F! [M]	unknown	1
F(?)	in question	1
F(?), ADULT	in question	1
F(?)/SUB-ADULT	female	1
F(?)M	in question	1
F(?M JUV)	in question	1
F(?M)	in question	1
F(A M IM - L.F)	unknown	1
F(BY PLUMAGE)	female	1
F(HY)	female	1
F(M JUV.)	unknown	1
F(M)	unknown	1
F(M?)	in question	1
F*	female	1
F, "JUV"	female	1
F, 1ST YEAR	female	1
F, ADULT	female	1
F, ÄGG	female	1
F, BY DISSECTION	female	1
F, IMM.	female	1
F, IMMATURE	female	1
F, JUVENILE	female	1
F, M, U	female | male | unknown	1
F, NESTLING	female	1
F, PROB.	female	1
F, U	female | unknown	1
F.	female	1
F. ADULT	female	1
F.FEMALE	female	1
F/(YEARLING)	female	1
F/08 DAYS OLD	female	1
F/1 DAY OLD	female	1
F/10 DAYS	female	1
F/10 DAYS OLD	female	1
F/13 DAYS	female	1
F/14 DAYS OLD	female	1
F/17 MONTHS	female	1
F/19 MONTHS	female	1
F/2 DAYS	female	1
F/2 YEARS	female	1
F/20 DAYS	female	1
F/21 DAYS	female	1
F/25 DAYS	female	1
F/3 DAYS OLD	female	1
F/30 DAYS	female	1
F/4 YRS.GON=3.5X1.8	female	1
F/40 DAYS	female	1
F/41 DAYS	female	1
F/42 DAYS OLD	female	1
F/6 DAYS	female	1
F/6 YEARS	female	1
F/8 DAYS OLD	female	1
F/8 YEARS	female	1
F/86 DAYS	female	1
F/9 DAYS OLD	female	1
F/AD	female	1
F/ADULT	female	1
F/CLASS IA	female	1
F/FIRST YEAR	female	1
F/FLEDGLING	female	1
F/HY	female	1
F/IMM	female	1
F/IMM.	female	1
F/IMM.GON=16.1X5.2	female	1
F/IMMATURE	female	1
F/J	female	1
F/JUV	female	1
F/JUV.	female	1
F/JUVENILE	female	1
F/M	unknown	1
F/NA	female	1
F/NESTLING	female	1
F/YEARLING	female	1
F/YLG.	female	1
F/YRLG.	female	1
F; CONFIRMED BY DISSECTION	female	1
F; IMM.	female	1
F?	in question	1
F-?	in question	1
F? M JUV	in question	1
F? M? [M]		1
F?(M JUV)	in question	1
F?(M)	in question	1
F?)	in question	1
F?*	in question	1
F?, IMM.	female	1
F?, JUV	in question	1
F?/AD	in question	1
F?/FLEDGLING	in question	1
F?/IMM	in question	1
F??	in question	1
F?[=M]	in question	1
F?[M]	in question	1
F?ADULT-SHORT TUSKS	female	1
F?M	in question	1
F[* WITH ? BELOW *]	in question	1
F[?]	in question	1
F-[?](SEE REMARKS)	in question	1
F[?]*	in question	1
F[=M AD]	unknown	1
F[=M?]	in question	1
F[=M]	unknown	1
'F'[=M]	unknown	1
F[ALMOST SURELY A M FROM SIZE]	male	1
F[ILLEG]	female	1
F[M ?]	in question	1
F[M JUV.]	unknown	1
F[M JUV]	unknown	1
F[M?]	in question	1
F[M]	unknown	1
F[M]?!	in question	1
F]	female	1
F`	female	1
F~	female	1
F~ JUV	female	1
F+	female	1
F4	female	1
FALL MALE	male	1
FBY DISSECTION	female	1
F'CHICK'	female	1
FD	female	1
FELMALE	female	1
FEMAL	female	1
FEMALAE	female	1
FEMALE	female	1
FEMALE - ?	female	1
FEMALE - ADULT	female	1
FEMALE - HY	female	1
FEMALE - S.AD.	female	1
FEMALE (? - SEE NOTE)/MALE (? - 	in question	1
FEMALE (?)	in question	1
FEMALE (?, SEE NOTE)	female	1
FEMALE (1 DAY OLD)	female	1
FEMALE (2YRS)	female	1
FEMALE (3 DAYS OLD)	female	1
FEMALE (A.R. PHILLIPS)	female	1
FEMALE (BELIEVED TO BE)	female	1
FEMALE (BUT SEE NOTES)	female	1
FEMALE (BY GONADS)	female	1
FEMALE (BY GONADS))	female	1
FEMALE (BY PLUMAGE)	female	1
FEMALE (FIDE SCLATER 1888, CAT. 	female	1
FEMALE (FIDE SCLATER, 1888, CAT.	female	1
FEMALE (HY)	female	1
FEMALE (IDENTIFIED LATER AS)	female	1
FEMALE (IMM.)	female	1
FEMALE (IMMATURE)	female	1
FEMALE (IMP.)	female	1
FEMALE (IN REGISTER)	female	1
FEMALE (JUV.)	female	1
FEMALE (JUV?)	female	1
FEMALE (JUVENILE)	female	1
FEMALE (LAC.)	female	1
FEMALE (LACT)	female	1
FEMALE (LATER IDENTIFIED AS)	female	1
FEMALE (LF=1.8)	female	1
FEMALE (LF=3.9)	female	1
FEMALE (LIKELY)	female	1
FEMALE (M)	unknown	1
FEMALE (MALE, ON LABEL)	female	1
FEMALE ('MAY BE')	female	1
FEMALE ('NOT BREEDING' ON LABEL)	female	1
FEMALE (ON LABEL)	female	1
FEMALE (ON LABEL)/MALE (IN TEXT)	female	1
FEMALE (ON PLUMAGE)	female	1
FEMALE (OR IMMATURE)	female	1
FEMALE (PREG.)	female	1
FEMALE (PROBABLY)	female	1
FEMALE ('PROBABLY')	female	1
FEMALE (SA)	female	1
FEMALE (SEE NOTE)	female	1
FEMALE (SEE NOTES)	female	1
FEMALE (SUB-ADULT)	female	1
FEMALE (SUBSEQUENTLY CONSIDERED 	female	1
FEMALE (SUBSEQUENTLY SEXED AS)	female	1
FEMALE , FEMALE	female	1
FEMALE ?	in question	1
FEMALE [?]	in question	1
FEMALE [= MALE ?]	in question	1
FEMALE [ADULT]	female	1
FEMALE [IMMATURE]	female	1
FEMALE [MALE ?]	in question	1
FEMALE [MALE?]	in question	1
FEMALE [MALE]	female | male	1
FEMALE + MALE + NEST	female | male	1
FEMALE 23	female	1
FEMALE 42 MM SVL	female	1
FEMALE ADULT	female	1
FEMALE AND 1 NEWBORN	female	1
FEMALE AND MALE	female | male	1
FEMALE BR.	female	1
FEMALE BY PLUMAGE	female	1
FEMALE EGGS N=11	female	1
FEMALE EGGS N=15	female	1
FEMALE FEMALE	female	1
FEMALE FLEDGLING	female	1
FEMALE FULL OD WELL DEVELOPED EG	female	1
FEMALE GRAVID	female	1
FEMALE NEONATE	female	1
FEMALE NO EMB-VASCULAR	female	1
FEMALE OF PAIR	female	1
FEMALE OR MALE?	in question	1
FEMALE PLUMAGE. SEX ?	in question	1
FEMALE SUBADULT	female	1
FEMALE W/	female	1
FEMALE W/ 11 EMBRYOS	female	1
FEMALE W/ 3 EGGS	female	1
FEMALE W/ 4 EGGS 7X12MM	female	1
FEMALE W/ 8 EGGS	female	1
FEMALE WITH 3 EGGS	female	1
FEMALE WITH 6 EGGS	female	1
FEMALE WITH EGGS	female	1
FEMALE WITH EMBRYOS	female	1
FEMALE WITH FOUR EGGS, LIVER TIS	female	1
FEMALE WITH SIX EGGS	female	1
FEMALEMALE	female | male	1
FEMALEUNDET.	female | unknown	1
FEMALE(?)	in question	1
FEMALE(IMM)	female	1
FEMALE(S)-CERTAIN	in question	1
FEMALE(S)-UNCERTAIN	in question	1
FEMALE, 11 EGGS REMOVED	female	1
FEMALE, 2 OVA 13MM	female	1
FEMALE, 2 OVA 6MM NO SHELL	female	1
FEMALE, 3 EGGS	female	1
FEMALE, 4 EGGS	female	1
FEMALE, 4 LARGE OVA 4X5 MM	female	1
FEMALE, 51 MM SVL	female	1
FEMALE, 6 EGGS	female	1
FEMALE, ADULT	female	1
FEMALE, BIRTH TO 12 8/14-18/1989	female	1
FEMALE, BUT HAS MALE PLUMAGE	female	1
FEMALE, CA 70 CM TOTAL LENGTH	female	1
FEMALE, COLL GRAVID	female	1
FEMALE, EGGS LAID 8-9 MAY 1979	female	1
FEMALE, EGGS N=8	female	1
FEMALE, FLACCID	female	1
FEMALE, GAVE BIRTH 08/19-19/1989	female	1
FEMALE, GAVE BIRTH 09/11-15/1989	female	1
FEMALE, GRANULAR	female	1
FEMALE, GRAVID	female	1
FEMALE, GRAVID W/ 42 EGGS	female	1
FEMALE, IMM	female	1
FEMALE, IMMATURE	female	1
FEMALE, IMMATURE?	female	1
FEMALE, LAID 27 EGGS AUG 24, 198	female	1
FEMALE, MALE	female | male	1
FEMALE, NEST	female	1
FEMALE, OVA 5MM	female	1
FEMALE, OVA ENLARGED	female	1
FEMALE, OVA SMALL	female	1
FEMALE, POST-LACTATING	female	1
